id,timestamp,dataset,organization_name,organization_address_line1,organization_address_line2,organization_address_line3,organization_country,poc_name,poc_email,poc_telephone,mailing_list,approved
2751,2021-04-29 23:51:08.507682-04,sd18,Vipaks,Perm,Krasnova street ,24,RUS,,,,f,t
2350,2021-01-23 13:31:44.172564-05,sd18,University at Buffalo,Buffalo, NY 14260,,USA,(B)(6),(B)(6),(B)(6),f,t
2114,2020-11-19 15:02:16.175647-05,sd18,NIST,100 Bureau Dr,This is a test,Gaithersburg MD 20899,USA,,,,f,t
2180,2020-12-03 19:16:17.33779-05,sd18,Ipsidy,670 Long Beach Blvd,N/A,"Long Beach, NY 11561",USA,,,,f,t
2181,2020-12-04 13:42:15.441589-05,sd18,Manchester Metropolitan University,Manchester Metropolitan University,"All Saints Building, All Saints, Manchester",M15 6BH,GBR,,,,f,t
2185,2020-12-07 03:18:16.073643-05,sd18,Norwegian Police ICT Services,Fridtjof Nansens vei 14,0369 Oslo,Oslo,NOR,,,,f,t
2310,2021-01-15 10:32:38.889728-05,sd18,umi,faculty of sciences,zitoune,meknes maroc,MAR,,,,f,f
2226,2020-12-15 12:46:44.523767-05,sd18,None,None,None,None,USA,,,,f,f
2238,2020-12-22 02:27:03.65074-05,sd18,avirat infotech,nigdi Pune,Pune,,IND,,,,f,t
2245,2020-12-24 02:33:50.216845-05,sd18,aspire publisher,Nigdi Pune,411044,,IND,,,,f,t
2253,2020-12-30 05:25:53.857339-05,sd18,Tata Research Development and Design Center," 54-B, Hadapsar Industrial Estate",Hadapsar,"Pune, Maharashtra. 411013",IND,,,,f,t
2257,2021-01-02 20:52:57.392114-05,sd18,AirframeLLC,1164 Biship St,Auite 1600,"Honolulu, HI. 96815",USA,,,,f,f
2273,2021-01-06 20:47:39.414403-05,sd18,Kakao Enterprise Corp.,"3F N, H-Square",235 Pangyoyeok-ro,"Bundang-gu, Seongnam-si, Gyeonggi-do",KOR,,,,f,t
2281,2021-01-10 05:00:18.40222-05,sd18,komel,lenina,dom blin 9,"moskow, 369874",RUS,,,,f,f
